N,w,concurrent_events,label,union_bound
331900.87959146773,36,4,baseline local write set (w=36),0.023428681507477088
358609.54820118286,36,4,baseline local write set (w=36),0.021683750583343646
387467.5120456128,36,4,baseline local write set (w=36),0.020068779338290967
418647.7288289947,36,4,baseline local write set (w=36),0.018574088582184255
452337.07447720965,36,4,baseline local write set (w=36),0.017190720015570562
488737.4631624417,36,4,baseline local write set (w=36),0.015910382538887737
528067.0574582637,36,4,baseline local write set (w=36),0.014725402560478001
570561.5758781021,36,4,baseline local write set (w=36),0.013628678005581832
616475.7056337161,36,4,baseline local write set (w=36),0.012613635750668449
666084.6290809154,36,4,baseline local write set (w=36),0.011674192227989964
719685.6730011528,36,4,baseline local write set (w=36),0.010804716964245507
777600.0906038043,36,4,baseline local write set (w=36),0.009999998834827755
840174.9869294344,36,4,baseline local write set (w=36),0.009255214831399284
907785.3991937558,36,4,baseline local write set (w=36),0.008565901155610355
980836.5445406671,36,4,baseline local write set (w=36),0.00792792646571051
1059766.2486760707,36,4,baseline local write set (w=36),0.007337467115709985
1145047.569938281,36,4,baseline local write set (w=36),0.006790984238688994
1237191.6345321594,36,4,baseline local write set (w=36),0.006285202536905669
1336750.6999197064,36,4,baseline local write set (w=36),0.005817090651583033
1444321.464727279,36,4,baseline local write set (w=36),0.0053838429947229835
1560548.6450070718,36,4,baseline local write set (w=36),0.0049828629340578886
1686128.8382868804,36,4,baseline local write set (w=36),0.00461174723036021
1821814.6985669748,36,4,baseline local write set (w=36),0.004268271633836603
1968419.4472866112,36,4,baseline local write set (w=36),0.003950377553279567
2126821.747296208,36,4,baseline local write set (w=36),0.003656159718079569
2297970.9690469652,36,4,baseline local write set (w=36),0.003383854759150822
2482892.88056033,36,4,baseline local write set (w=36),0.003131830640331588
2682695.7952797273,36,4,baseline local write set (w=36),0.002898576876916896
2898577.214651068,36,4,baseline local write set (w=36),0.0026826954826994587
3131831.005243845,36,4,baseline local write set (w=36),0.0024828925912605427
3383855.153428233,36,4,baseline local write set (w=36),0.0022979707012937656
3656160.1440851935,36,4,baseline local write set (w=36),0.0021268214994848455
3950378.0135666407,36,4,baseline local write set (w=36),0.0019684192179318443
4268272.131163817,36,4,baseline local write set (w=36),0.001821814486294186
4611747.767708251,36,4,baseline local write set (w=36),0.0016861286418238313
4982863.514647296,36,4,baseline local write set (w=36),0.0015605484631762811
5383843.622033478,36,4,baseline local write set (w=36),0.0014443212964389564
5817091.329374358,36,4,baseline local write set (w=36),0.0013367505441652275
6285203.269240097,36,4,baseline local write set (w=36),0.0012371914903780265
6790985.029955707,36,4,baseline local write set (w=36),0.0011450474365205187
7337467.970651388,36,4,baseline local write set (w=36),0.0010597661251950487
7927927.389450606,36,4,baseline local write set (w=36),0.000980836430256315
8565902.153685499,36,4,baseline local write set (w=36),0.0009077852934211207
9255215.909791354,36,4,baseline local write set (w=36),0.0008401748890345767
10000000.0,36,4,baseline local write set (w=36),0.0007776
1000.0,36,8,baseline local write set (w=36),1.0
1080.4718223181285,36,8,baseline local write set (w=36),1.0
1167.4193588234587,36,8,baseline local write set (w=36),1.0
1261.3637220374437,36,8,baseline local write set (w=36),1.0
1362.867959355774,36,8,baseline local write set (w=36),1.0
1472.5404276241222,36,8,baseline local write set (w=36),1.0
1591.0384392721533,36,8,baseline local write set (w=36),1.0
1719.0722018585745,36,8,baseline local write set (w=36),1.0
1857.4090746385718,36,8,baseline local write set (w=36),1.0
2006.8781676649664,36,8,baseline local write set (w=36),1.0
2168.375310987435,36,8,baseline local write set (w=36),1.0
2342.8684237322327,36,8,baseline local write set (w=36),1.0
2531.403315241567,36,8,baseline local write set (w=36),1.0
2735.1099530412107,36,8,baseline local write set (w=36),1.0
2955.2092352028876,36,8,baseline local write set (w=36),1.0
3193.020307691027,36,8,baseline local write set (w=36),1.0
3449.9684705497157,36,8,baseline local write set (w=36),1.0
3727.593720314938,36,8,baseline local write set (w=36),1.0
4027.5599798502976,36,8,baseline local write set (w=36),1.0
4351.665070924416,36,8,baseline local write set (w=36),1.0
4701.851489299852,36,8,baseline local write set (w=36),1.0
5080.218046913023,36,8,baseline local write set (w=36),1.0
5489.032450921557,36,8,baseline local write set (w=36),1.0
5930.744895010558,36,8,baseline local write set (w=36),1.0
6408.002744415996,36,8,baseline local write set (w=36),1.0
6923.6664026787275,36,8,baseline local write set (w=36),1.0
7480.826455225086,36,8,baseline local write set (w=36),1.0
8082.822192522714,36,8,baseline local write set (w=36),1.0
8733.261623828437,36,8,baseline local write set (w=36),1.0
9436.04310147889,36,8,baseline local write set (w=36),1.0
10195.378685327301,36,8,baseline local write set (w=36),1.0
11015.819387358995,36,8,baseline local write set (w=36),1.0
11902.282447787144,36,8,baseline local write set (w=36),1.0
12860.08080610565,36,8,baseline local write set (w=36),1.0
13894.95494373136,36,8,baseline local write set (w=36),1.0
15013.107289081743,36,8,baseline local write set (w=36),1.0
16221.239391291729,36,8,baseline local write set (w=36),1.0
